"","Player","Date","Team","Position","TOI","G","A1","A2","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","A","P","P1","G60","A60","P60","P160","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF","iSh%","iCSh%","iFSh%"
"36","SIDNEY.CROSBY","2016-04-30","PIT","C",11.84,0,0,0,1,0,0,0,0,4,13,0,0,1,4,3,1,1,0,0,0,0,0,0,0,5.07,0,0,0,NA,0,0.24,0,NA,0,NA
"37","SIDNEY.CROSBY","2016-04-28","PIT","C",17.28,0,0,0,6,4,0,0.47,2,14,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.83,13.89,0,1.62,11.68,6.94,0.7,0,NA,0,0
"38","SIDNEY.CROSBY","2016-04-23","PIT","C",14.5,0,1,0,3,2,1,0.07,0,7,10,0,0,1,1,0,2,1,1,1,1,0,4.14,4.14,0,12.41,8.28,4.14,0.3,3.67,0,0.41,0,0,0,0
"39","SIDNEY.CROSBY","2016-04-21","PIT","C",13.25,0,0,0,4,4,2,0.32,2,6,15,0,0,0,1,1,1,0,0,0,0,0,0,0,0,18.11,18.11,9.06,1.44,7.97,9.06,0.29,0,0,0,0
"40","SIDNEY.CROSBY","2016-04-19","PIT","C",15.41,0,0,0,3,2,1,0.08,0,8,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,11.68,7.79,3.89,0.32,4.15,0,0.73,0,0,0,0
"41","SIDNEY.CROSBY","2016-04-16","PIT","C",16.21,0,0,0,3,2,2,0.06,0,11,8,1,0,1,2,0,0,1,0,0,0,0,0,0,0,11.1,7.4,7.4,0.23,3.12,0,0.58,-1,0,0,0
"42","SIDNEY.CROSBY","2016-04-13","PIT","C",13.06,1,0,0,4,4,2,0.41,2,7,8,0,0,0,1,1,0,0,0,1,1,4.59,0,4.59,4.59,18.38,18.38,9.19,1.88,10.25,9.19,0.47,0,50,25,25
"43","SIDNEY.CROSBY","2016-04-07","PIT","C",12.31,0,0,0,4,3,2,0.16,1,8,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,19.5,14.62,9.75,0.78,5.3,4.87,0.67,0,0,0,0
"44","SIDNEY.CROSBY","2016-04-05","PIT","C",18.17,1,0,0,3,3,2,0.06,0,9,14,0,0,0,4,0,0,0,0,1,1,3.3,0,3.3,3.3,9.91,9.91,6.6,0.18,1.84,0,0.39,0,50,33.33,33.33
"45","SIDNEY.CROSBY","2016-04-03","PIT","C",16.87,0,0,0,5,5,4,0.28,1,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.78,17.78,14.23,1.01,5.68,3.56,0.52,1,0,0,0
