"","Player","Date","Team","Position","TOI","G","A1","A2","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","A","P","P1","G60","A60","P60","P160","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF","iSh%","iCSh%","iFSh%"
"46","ALEX.OVECHKIN","2016-03-15","WSH","L",15.42,0,0,0,9,7,5,0.33,1,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,35.02,27.24,19.46,1.3,4.76,3.89,NA,1,0,0,0
"47","ALEX.OVECHKIN","2016-03-12","WSH","L",15.34,0,0,0,3,0,0,0,0,0,0,0,0,5,3,1,1,2,0,0,0,0,0,0,0,11.73,0,0,0,NA,0,NA,0,NA,0,NA
"48","ALEX.OVECHKIN","2016-03-09","WSH","L",17.47,0,1,0,4,3,3,0.54,2,0,0,0,0,4,1,1,0,1,1,1,1,0,3.43,3.43,0,13.74,10.3,10.3,1.85,17.95,6.87,NA,0,0,0,0
"49","ALEX.OVECHKIN","2016-03-07","WSH","L",12.09,0,0,0,1,1,0,0.05,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,4.96,4.96,0,0.25,5.11,0,NA,-1,NA,0,0
"50","ALEX.OVECHKIN","2016-03-05","WSH","L",13.59,0,0,1,3,1,1,0.02,0,0,0,1,1,4,0,1,0,0,1,1,0,0,4.42,4.42,0,13.25,4.42,4.42,0.08,1.84,0,NA,0,0,0,0
"51","ALEX.OVECHKIN","2016-03-04","WSH","L",14.36,0,0,0,2,1,1,0.03,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8.36,4.18,4.18,0.13,3.02,0,NA,0,0,0,0
"52","ALEX.OVECHKIN","2016-03-02","WSH","L",11.36,1,0,0,4,4,3,0.23,1,0,0,0,0,1,1,2,0,0,0,1,1,5.28,0,5.28,5.28,21.13,21.13,15.85,1.19,5.64,5.28,NA,0,33.33,25,25
"53","ALEX.OVECHKIN","2016-03-01","WSH","L",13.27,0,0,0,4,3,2,0.08,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,18.09,13.56,9.04,0.36,2.63,0,NA,0,0,0,0
"54","ALEX.OVECHKIN","2016-02-28","WSH","L",13.22,0,0,0,3,3,3,0.21,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,13.62,13.62,13.62,0.95,6.96,4.54,NA,0,0,0,0
"55","ALEX.OVECHKIN","2016-02-26","WSH","L",17.83,0,0,1,7,4,3,0.3,1,0,0,0,0,3,0,2,0,0,1,1,0,0,3.37,3.37,0,23.56,13.46,10.1,0.99,7.38,3.37,NA,0,0,0,0
"56","ALEX.OVECHKIN","2016-02-24","WSH","L",14.37,0,0,1,3,1,1,0.09,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4.18,4.18,0,12.53,4.18,4.18,0.38,8.98,0,NA,0,0,0,0
"57","ALEX.OVECHKIN","2016-02-22","WSH","L",14.24,1,0,0,6,4,3,0.09,0,0,0,2,0,0,1,0,0,2,0,1,1,4.21,0,4.21,4.21,25.28,16.85,12.64,0.36,2.16,0,NA,-2,33.33,16.67,25
"58","ALEX.OVECHKIN","2016-02-20","WSH","L",15.2,1,0,1,8,5,4,0.39,2,0,0,0,0,2,1,0,0,0,1,2,1,3.95,3.95,7.89,3.95,31.58,19.74,15.79,1.55,7.85,7.89,NA,0,25,12.5,20
"59","ALEX.OVECHKIN","2016-02-18","WSH","L",12.53,1,0,0,6,4,3,0.35,2,0,0,0,0,3,3,0,0,0,0,1,1,4.79,0,4.79,4.79,28.73,19.15,14.37,1.68,8.75,9.58,NA,0,33.33,16.67,25
"60","ALEX.OVECHKIN","2016-02-16","WSH","L",11.92,0,0,0,8,8,7,0.39,2,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,40.27,40.27,35.23,1.96,4.86,10.07,NA,0,0,0,0
"61","ALEX.OVECHKIN","2016-02-13","WSH","L",14.97,0,0,0,4,4,1,0.13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16.03,16.03,4.01,0.54,3.36,0,NA,0,0,0,0
"62","ALEX.OVECHKIN","2016-02-11","WSH","L",12.2,2,0,0,8,6,5,0.36,2,0,0,0,0,2,0,0,0,2,0,2,2,9.84,0,9.84,9.84,39.34,29.51,24.59,1.76,5.97,9.84,NA,0,40,25,33.33
"63","ALEX.OVECHKIN","2016-02-09","WSH","L",15.47,0,0,0,6,5,2,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.27,19.39,7.76,0.4,2.08,0,NA,0,0,0,0
"64","ALEX.OVECHKIN","2016-02-07","WSH","L",14.63,1,0,0,7,4,4,0.34,1,0,0,0,0,1,0,0,1,0,0,1,1,4.1,0,4.1,4.1,28.71,16.4,16.4,1.38,8.38,4.1,NA,0,25,14.29,25
"65","ALEX.OVECHKIN","2016-02-06","WSH","L",15.71,0,0,0,5,4,4,0.26,2,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,19.1,15.28,15.28,1,6.56,7.64,NA,0,0,0,0
"66","ALEX.OVECHKIN","2016-02-04","WSH","L",15.48,1,0,0,9,5,5,0.23,0,0,0,0,0,3,1,0,0,2,0,1,1,3.88,0,3.88,3.88,34.88,19.38,19.38,0.89,4.6,0,NA,0,20,11.11,20
"67","ALEX.OVECHKIN","2016-01-27","WSH","L",14.38,0,0,0,7,6,5,0.13,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,29.21,25.03,20.86,0.56,2.22,0,NA,-1,0,0,0
"68","ALEX.OVECHKIN","2016-01-19","WSH","L",13.96,0,0,1,5,2,2,0.15,1,0,0,0,1,4,2,0,0,0,1,1,0,0,4.3,4.3,0,21.49,8.6,8.6,0.62,7.27,4.3,NA,1,0,0,0
"69","ALEX.OVECHKIN","2016-01-17","WSH","L",15.6,0,0,0,1,1,1,0.07,0,0,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,3.85,3.85,3.85,0.27,7.07,0,NA,0,0,0,0
"70","ALEX.OVECHKIN","2016-01-16","WSH","L",13.8,0,0,0,6,4,1,0.13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,26.09,17.39,4.35,0.55,3.16,0,NA,0,0,0,0
"71","ALEX.OVECHKIN","2016-01-14","WSH","L",16.44,0,0,0,7,6,5,0.39,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,25.55,21.9,18.25,1.44,6.57,0,NA,0,0,0,0
"72","ALEX.OVECHKIN","2016-01-10","WSH","L",14.54,1,0,0,5,3,2,0.26,1,0,0,0,0,3,1,0,0,0,0,1,1,4.13,0,4.13,4.13,20.63,12.38,8.25,1.09,8.78,4.13,NA,0,50,20,33.33
"73","ALEX.OVECHKIN","2016-01-09","WSH","L",15.65,0,0,0,7,2,2,0.12,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,26.84,7.67,7.67,0.48,6.22,3.83,NA,0,0,0,0
"74","ALEX.OVECHKIN","2016-01-07","WSH","L",13.57,1,0,0,7,6,6,0.29,1,0,0,0,0,3,0,1,0,1,0,1,1,4.42,0,4.42,4.42,30.95,26.53,26.53,1.27,4.79,4.42,NA,0,16.67,14.29,16.67
"75","ALEX.OVECHKIN","2016-01-05","WSH","L",13.14,0,0,0,4,4,2,0.09,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,18.26,18.26,9.13,0.4,2.19,0,NA,0,0,0,0
"76","ALEX.OVECHKIN","2016-01-02","WSH","L",14.7,0,0,0,3,1,0,0.12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.24,4.08,0,0.47,11.54,4.08,NA,0,NA,0,0
"77","ALEX.OVECHKIN","2015-12-31","WSH","L",19.67,1,0,0,9,8,6,0.7,3,0,0,0,0,4,0,2,1,0,0,1,1,3.05,0,3.05,3.05,27.45,24.4,18.3,2.12,8.7,9.15,NA,0,16.67,11.11,12.5
"78","ALEX.OVECHKIN","2015-12-30","WSH","L",15.71,1,0,0,11,10,7,0.67,2,0,0,1,0,6,1,2,1,0,0,1,1,3.82,0,3.82,3.82,42.01,38.19,26.73,2.55,6.68,7.64,NA,-1,14.29,9.09,10
"79","ALEX.OVECHKIN","2015-12-28","WSH","L",16.93,1,0,0,6,5,4,0.46,2,0,0,0,0,4,2,1,0,0,0,1,1,3.54,0,3.54,3.54,21.26,17.72,14.18,1.62,9.11,7.09,NA,0,25,16.67,20
"80","ALEX.OVECHKIN","2015-12-26","WSH","L",14.18,0,0,0,6,3,2,0.11,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,25.39,12.69,8.46,0.48,3.75,0,NA,1,0,0,0
"81","ALEX.OVECHKIN","2015-12-21","WSH","L",16.62,0,0,0,4,2,1,0.05,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,14.44,7.22,3.61,0.19,2.68,0,NA,0,0,0,0
"82","ALEX.OVECHKIN","2015-12-20","WSH","L",13.35,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4.49,0,0,0,NA,0,NA,-1,NA,0,NA
"83","ALEX.OVECHKIN","2015-12-18","WSH","L",13.24,0,0,0,8,6,3,0.47,2,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,36.25,27.19,13.6,2.11,7.76,9.06,NA,-1,0,0,0
"84","ALEX.OVECHKIN","2015-12-16","WSH","L",15.13,0,0,0,6,4,2,0.34,2,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,23.79,15.86,7.93,1.37,8.61,7.93,NA,0,0,0,0
"85","ALEX.OVECHKIN","2015-12-14","WSH","L",15.79,0,0,0,3,3,3,0.12,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,11.4,11.4,11.4,0.45,3.94,0,NA,0,0,0,0
"86","ALEX.OVECHKIN","2015-12-12","WSH","L",16.39,0,0,0,5,3,0,0.17,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,18.3,10.98,0,0.63,5.77,3.66,NA,0,NA,0,0
"87","ALEX.OVECHKIN","2015-12-10","WSH","L",12.07,0,0,0,6,4,1,0.16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,29.83,19.88,4.97,0.78,3.95,0,NA,-1,0,0,0
"88","ALEX.OVECHKIN","2015-12-08","WSH","L",17.81,0,0,0,6,6,4,0.32,1,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,20.21,20.21,13.48,1.07,5.28,3.37,NA,1,0,0,0
"89","ALEX.OVECHKIN","2015-12-05","WSH","L",15.88,0,0,0,7,5,2,0.11,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,26.45,18.89,7.56,0.43,2.26,0,NA,0,0,0,0
"90","ALEX.OVECHKIN","2015-12-03","WSH","L",15.52,0,0,1,2,1,0,0.02,0,0,0,0,0,2,1,0,0,0,1,1,0,0,3.87,3.87,0,7.73,3.87,0,0.09,2.25,0,NA,0,NA,0,0
"91","ALEX.OVECHKIN","2015-11-28","WSH","L",17.5,0,0,0,6,6,2,0.38,1,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,20.57,20.57,6.86,1.31,6.38,3.43,NA,0,0,0,0
"92","ALEX.OVECHKIN","2015-11-27","WSH","L",14.51,0,0,0,3,3,3,0.07,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,12.41,12.41,12.41,0.27,2.18,0,NA,-1,0,0,0
"93","ALEX.OVECHKIN","2015-11-25","WSH","L",17.51,0,0,0,7,4,4,0.35,1,0,0,0,1,4,1,1,0,1,0,0,0,0,0,0,0,23.99,13.71,13.71,1.21,8.8,3.43,NA,1,0,0,0
"94","ALEX.OVECHKIN","2015-11-23","WSH","L",16.83,0,0,0,3,3,2,0.1,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,10.7,10.7,7.13,0.36,3.36,0,NA,1,0,0,0
"95","ALEX.OVECHKIN","2015-11-21","WSH","L",15.13,1,0,1,5,3,2,0.14,0,0,0,0,1,1,1,1,0,1,1,2,1,3.97,3.97,7.93,3.97,19.83,11.9,7.93,0.57,4.79,0,NA,1,50,20,33.33
"96","ALEX.OVECHKIN","2015-11-19","WSH","L",15.4,1,0,0,9,6,3,0.47,2,0,0,0,0,5,1,1,0,0,0,1,1,3.9,0,3.9,3.9,35.06,23.38,11.69,1.83,7.84,7.79,NA,0,33.33,11.11,16.67
"97","ALEX.OVECHKIN","2015-11-18","WSH","L",10.8,0,0,0,3,3,2,0.18,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,16.67,16.67,11.11,1.01,6.03,5.56,NA,0,0,0,0
"98","ALEX.OVECHKIN","2015-11-13","WSH","L",14.63,0,0,0,5,3,3,0.09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.51,12.3,12.3,0.37,2.99,0,NA,0,0,0,0
"99","ALEX.OVECHKIN","2015-11-12","WSH","L",13.21,0,0,0,1,1,1,0.01,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,4.54,4.54,4.54,0.05,1.02,0,NA,0,0,0,0
"100","ALEX.OVECHKIN","2015-11-10","WSH","L",18.03,0,0,0,7,7,7,0.44,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23.29,23.29,23.29,1.47,6.29,6.66,NA,0,0,0,0
"101","ALEX.OVECHKIN","2015-11-07","WSH","L",11.04,0,0,0,6,4,4,0.33,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,32.61,21.74,21.74,1.81,8.34,10.87,NA,1,0,0,0
"102","ALEX.OVECHKIN","2015-11-05","WSH","L",15.17,1,0,0,6,6,4,0.4,1,0,0,0,0,2,1,0,0,0,0,1,1,3.96,0,3.96,3.96,23.73,23.73,15.82,1.59,6.69,3.96,NA,0,25,16.67,16.67
"103","ALEX.OVECHKIN","2015-11-03","WSH","L",16.42,1,0,0,12,8,7,0.88,4,0,0,0,0,7,1,0,1,0,0,1,1,3.65,0,3.65,3.65,43.85,29.23,25.58,3.23,11.06,14.62,NA,0,14.29,8.33,12.5
"104","ALEX.OVECHKIN","2015-10-31","WSH","L",15.79,0,1,0,4,2,0,0.05,0,0,0,0,1,3,3,0,0,0,1,1,1,0,3.8,3.8,0,15.2,7.6,0,0.17,2.26,0,NA,1,NA,0,0
"105","ALEX.OVECHKIN","2015-10-30","WSH","L",15.96,0,0,1,6,2,1,0.23,1,0,0,0,0,1,1,2,0,0,1,1,0,0,3.76,3.76,0,22.56,7.52,3.76,0.86,11.48,3.76,NA,0,0,0,0
"106","ALEX.OVECHKIN","2015-10-28","WSH","L",14.44,0,0,0,9,5,4,0.52,2,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,37.4,20.78,16.62,2.15,10.35,8.31,NA,0,0,0,0
"107","ALEX.OVECHKIN","2015-10-23","WSH","L",13.93,0,0,2,5,5,3,0.23,0,0,0,0,0,2,0,0,0,0,2,2,0,0,8.61,8.61,0,21.54,21.54,12.92,0.98,4.54,0,NA,0,0,0,0
"108","ALEX.OVECHKIN","2015-10-22","WSH","L",15.04,1,0,0,7,6,5,0.27,0,0,0,0,0,0,1,0,0,0,0,1,1,3.99,0,3.99,3.99,27.93,23.94,19.95,1.09,4.56,0,NA,0,20,14.29,16.67
"109","ALEX.OVECHKIN","2015-10-20","WSH","L",13.48,1,0,1,8,6,5,0.58,2,0,0,0,0,1,1,0,0,0,1,2,1,4.45,4.45,8.9,4.45,35.61,26.71,22.26,2.6,9.75,8.9,NA,0,20,12.5,16.67
"110","ALEX.OVECHKIN","2015-10-17","WSH","L",15.81,1,0,0,5,3,3,0.15,1,0,0,0,1,4,0,3,2,0,0,1,1,3.8,0,3.8,3.8,18.98,11.39,11.39,0.58,5.14,3.8,NA,1,33.33,20,33.33
"111","ALEX.OVECHKIN","2015-10-15","WSH","L",17.61,1,0,0,10,7,6,0.4,1,0,0,1,0,3,0,1,0,0,0,1,1,3.41,0,3.41,3.41,34.07,23.85,20.44,1.37,5.74,3.41,NA,-1,16.67,10,14.29
"112","ALEX.OVECHKIN","2015-10-10","WSH","L",14.22,1,0,0,4,2,1,0.15,1,0,0,0,0,1,0,0,0,0,0,1,1,4.22,0,4.22,4.22,16.88,8.44,4.22,0.62,7.41,4.22,NA,0,100,25,50
